customer_id,age,annual_income,monthly_spending,purchase_frequency,avg_transaction_value,website_visits_monthly,avg_session_minutes,days_since_last_purchase,support_contacts_yearly,discount_usage_percent,loyalty_years,satisfaction_score
CUST-000069,44,77100.58,785.97,8,99.28,12,9.57,17,1,15.57,4.12,8.57
CUST-000070,54,145884.26,2214.18,18,147.43,28,17.93,16,3,10.82,6.76,7.58
CUST-000071,42,65009.56,905.15,7,97.73,17,8.52,11,0,27.85,1.51,6.66
CUST-000072,45,111975.75,2219.04,21,143.47,30,12.51,2,2,12.57,5.55,10.0
CUST-000073,37,52575.75,437.56,6,85.04,20,7.28,42,2,30.84,2.94,6.35
CUST-000074,38,48652.35,709.01,10,59.43,20,12.22,21,0,41.67,3.12,5.98
CUST-000075,57,52129.95,608.51,9,108.3,22,7.86,21,2,37.39,4.41,7.77
CUST-000076,43,57352.05,1064.87,7,130.11,22,6.97,54,1,26.54,4.97,7.94
CUST-000077,43,71131.68,950.02,13,108.67,11,7.34,31,3,37.48,2.47,8.61
CUST-000078,45,48252.51,1747.92,15,140.47,40,18.41,24,2,72.89,4.4,7.82
CUST-000079,30,49731.59,1458.36,15,103.75,40,15.53,6,4,77.98,3.26,6.32
CUST-000080,29,37854.23,867.36,13,118.95,38,23.72,12,3,56.11,1.37,5.81
CUST-000081,18,37865.87,1273.45,11,72.5,40,13.35,15,4,79.21,2.93,6.95
CUST-000082,43,113295.17,3545.78,17,172.33,27,13.15,13,1,13.02,8.79,6.55
CUST-000083,59,50280.15,243.96,1,94.1,8,7.22,80,2,32.53,6.31,6.02
CUST-000084,46,40433.07,703.94,11,103.01,26,5.16,44,1,45.35,3.47,7.62
CUST-000085,47,55154.98,1058.62,7,114.45,2,7.99,40,3,45.64,4.1,9.18
CUST-000086,44,54633.28,1069.32,10,125.74,13,9.84,42,3,17.27,2.87,6.82
CUST-000087,24,29758.5,1769.91,11,64.9,28,20.6,13,3,64.42,3.06,6.52
CUST-000088,32,88265.21,1831.53,17,198.25,31,8.1,17,0,53.08,9.49,10.0
CUST-000089,48,66261.87,820.29,7,90.0,18,13.68,21,1,17.2,4.44,8.73
CUST-000090,58,143533.68,2837.61,16,207.06,18,11.68,31,0,17.59,8.14,8.58
CUST-000091,51,79026.57,994.97,11,86.78,14,16.22,48,0,34.85,4.24,7.92
CUST-000092,40,63890.33,1260.29,15,101.2,38,12.91,26,4,72.68,0.23,8.96
CUST-000093,49,91373.53,1855.07,17,192.68,22,14.39,18,1,9.58,8.73,9.34
CUST-000094,53,97741.75,1838.65,16,198.24,29,14.75,5,0,17.8,6.99,9.61
CUST-000095,44,106789.36,3775.45,19,152.93,31,9.63,5,1,17.07,8.12,8.61
CUST-000096,35,44528.09,1352.91,13,50.29,40,18.29,5,2,63.2,1.56,8.76
CUST-000097,65,58571.0,2879.24,18,169.6,29,17.96,0,1,41.48,4.77,8.38
CUST-000098,38,73739.12,1135.87,8,110.81,6,13.27,21,2,46.66,4.36,8.5
CUST-000099,47,64274.26,961.47,6,106.28,20,6.3,16,1,36.84,6.52,8.05
CUST-000100,38,61421.39,379.15,4,91.26,3,4.79,65,4,17.37,2.98,6.53
CUST-000101,64,60742.57,360.05,1,77.94,11,2.52,81,5,42.85,6.91,6.34
CUST-000102,18,53271.51,1281.76,12,119.06,37,16.41,27,3,61.05,0.0,6.18
CUST-000103,36,68930.89,698.22,4,117.58,12,8.95,40,2,53.12,3.88,8.51
CUST-000104,51,56066.14,333.79,1,89.38,1,5.48,66,4,12.24,6.26,7.5
CUST-000105,42,64449.75,1261.67,12,97.19,37,12.78,24,3,50.39,1.09,6.79
CUST-000106,30,48206.02,1626.48,10,81.2,34,21.77,7,3,80.6,4.38,8.47
CUST-000107,35,124996.32,2754.51,16,176.66,30,16.12,21,1,45.25,6.28,6.88
CUST-000108,40,62644.35,1158.03,7,122.28,8,12.24,26,2,60.58,5.93,6.46
CUST-000109,41,92537.33,1291.81,10,63.82,22,7.09,41,1,40.87,2.85,7.14
CUST-000110,60,41942.91,639.21,1,67.92,10,8.88,66,3,16.93,3.15,6.11
CUST-000111,47,123814.74,2808.71,18,164.75,20,13.47,9,1,9.46,8.16,7.32
CUST-000112,38,74600.1,676.0,10,74.77,7,4.52,26,3,50.51,6.18,8.36
CUST-000113,41,97601.58,3050.62,19,149.22,30,7.24,15,1,15.55,7.06,7.65
CUST-000114,34,48524.18,1507.21,16,88.17,34,14.59,34,5,78.65,2.11,7.82
CUST-000115,52,55103.6,905.9,6,106.77,23,12.24,27,0,27.13,4.18,7.28
CUST-000116,55,57401.64,370.69,3,91.26,3,10.54,64,1,49.4,3.48,6.7
CUST-000117,25,52918.56,1236.76,15,79.66,35,18.77,9,1,60.78,7.16,5.18
CUST-000118,32,45901.38,1755.02,11,87.53,41,17.46,5,3,64.29,1.44,7.93
CUST-000119,51,126421.57,2788.93,18,207.61,23,15.46,0,0,39.92,6.4,8.75
CUST-000120,20,37015.59,1053.94,14,72.09,36,15.77,28,4,62.19,3.23,6.75
CUST-000121,27,47570.5,1426.89,11,97.56,50,18.55,14,3,73.74,0.0,8.7
CUST-000122,38,42431.38,1258.68,12,92.48,38,18.69,2,2,81.75,1.04,4.36
CUST-000123,41,88912.24,1068.08,7,108.73,18,3.73,15,2,54.13,3.21,9.07
CUST-000124,42,44919.89,3025.46,17,193.4,27,13.58,7,1,12.48,6.28,6.69
CUST-000125,32,60176.22,456.31,4,101.64,14,8.06,0,4,17.77,2.53,6.24
CUST-000126,58,123723.4,2329.3,15,179.49,18,14.14,3,2,23.83,5.93,6.45
CUST-000127,46,84995.91,2644.98,15,160.3,18,16.56,5,4,18.42,7.63,8.54
CUST-000128,45,74194.39,1118.64,4,131.39,17,9.11,46,4,45.86,3.02,6.31
CUST-000129,48,77172.39,498.33,10,103.63,6,10.41,36,2,22.31,7.08,6.83
CUST-000130,39,34927.25,1364.4,14,106.84,45,15.56,20,1,51.47,0.96,7.41
CUST-000131,55,82745.83,829.73,9,133.58,19,8.49,26,2,32.5,3.39,7.38
CUST-000132,52,43759.37,499.7,4,141.91,9,3.75,62,4,34.63,4.56,4.33
CUST-000133,24,48155.74,1453.58,10,91.63,39,16.65,7,2,69.69,4.03,8.2
CUST-000134,39,111129.55,1345.31,16,189.94,32,7.64,0,1,0.0,7.31,9.12
CUST-000135,20,49145.54,916.64,16,90.17,35,14.29,19,5,58.74,1.21,6.25
CUST-000136,54,40699.57,1154.55,7,108.21,13,9.72,16,3,48.19,2.23,8.17
CUST-000137,52,55511.17,560.92,2,118.16,9,4.42,74,4,14.1,3.91,4.75
CUST-000138,46,142842.23,2932.35,13,168.17,25,15.23,2,0,17.32,8.02,8.73
CUST-000139,23,63159.91,1222.83,13,68.45,44,19.72,18,2,81.13,3.36,8.01
CUST-000140,42,61164.55,863.95,13,96.44,9,7.88,19,4,18.73,2.99,7.69
CUST-000141,58,129761.84,3526.08,17,169.91,28,8.9,0,2,20.53,8.74,7.65
CUST-000142,58,128876.43,2582.2,16,183.67,20,11.84,14,0,0.37,7.53,9.34
CUST-000143,64,60269.87,495.61,5,96.99,1,8.48,59,3,14.76,9.47,6.24
CUST-000144,22,42095.28,1249.8,14,91.98,33,18.95,7,4,68.68,0.63,7.69
CUST-000145,51,105170.28,3017.61,17,205.05,28,12.36,0,1,22.1,7.09,5.49
CUST-000146,47,51821.52,1035.77,12,103.68,17,9.1,31,2,28.8,2.37,9.09
CUST-000147,52,132191.66,2828.26,18,152.6,24,14.52,26,4,22.89,5.81,7.3
CUST-000148,41,98975.73,940.58,15,192.92,24,12.22,0,2,24.14,6.98,6.3
CUST-000149,44,123977.97,2583.66,16,192.14,25,14.95,0,0,23.73,8.23,9.02
CUST-000150,43,58383.7,941.78,9,120.98,28,6.24,64,0,39.63,1.85,7.81
CUST-000151,63,55322.57,509.91,2,43.75,10,5.09,64,4,32.88,3.53,6.18
CUST-000152,65,75394.69,549.78,3,101.44,5,3.6,80,4,32.39,3.27,7.17
CUST-000153,39,74141.85,760.64,6,143.2,12,4.3,13,3,44.13,2.63,6.87
CUST-000154,35,59369.55,1231.08,14,106.84,49,14.53,6,2,77.93,1.55,7.31
CUST-000155,43,62019.39,921.26,10,85.74,14,5.35,28,2,47.83,3.99,7.06
CUST-000156,28,62890.39,818.23,12,85.9,35,19.47,13,3,69.41,1.81,5.71
CUST-000157,43,42320.36,766.95,9,139.74,27,7.72,15,3,57.44,6.76,6.46
CUST-000158,29,55347.17,1502.92,14,73.78,41,20.79,3,5,79.9,0.66,7.92
CUST-000159,37,55353.96,1683.39,13,93.29,25,21.35,26,5,56.76,3.73,8.02
CUST-000160,25,57123.53,1377.34,9,99.61,34,12.97,18,3,84.85,2.33,7.78
CUST-000161,46,73393.88,724.49,8,106.48,18,9.77,18,2,54.78,0.95,8.21
CUST-000162,65,60730.49,602.12,5,104.6,5,6.21,78,4,19.09,2.83,5.99
CUST-000163,30,56737.58,418.52,10,138.85,15,14.49,41,3,33.64,3.37,8.06
CUST-000164,41,68118.25,1023.25,7,137.39,14,9.06,13,2,60.9,2.38,7.94
CUST-000165,26,28871.89,1403.72,12,92.98,43,18.7,18,2,76.48,1.66,5.0
CUST-000166,55,138452.75,3447.2,21,194.34,27,16.27,0,0,12.28,9.3,7.84
CUST-000167,59,60675.64,442.57,1,103.57,5,10.11,84,4,49.19,5.62,4.13
CUST-000168,54,71189.25,344.25,3,61.0,1,2.5,55,3,48.86,4.94,6.59
CUST-000169,57,92055.37,2124.37,18,159.14,27,18.03,0,1,15.62,6.05,7.89
CUST-000170,51,54849.02,435.24,5,94.37,13,3.22,56,4,33.55,6.55,7.26
CUST-000171,44,70403.77,1171.02,6,104.75,29,11.57,31,3,18.97,2.84,6.49
CUST-000172,51,107362.4,2654.56,15,134.34,28,7.71,1,0,7.44,7.36,9.74
CUST-000173,30,55781.56,553.69,7,111.8,19,2.64,32,1,20.41,4.12,8.13
CUST-000174,54,44178.01,410.67,1,110.1,12,8.03,70,5,15.75,8.21,4.77
CUST-000175,26,77238.27,759.39,8,84.23,27,14.47,44,2,46.77,3.9,8.62
CUST-000176,39,79685.3,808.75,7,98.34,16,7.84,31,1,44.49,6.73,7.58
CUST-000177,66,138339.86,3823.07,16,133.46,20,11.19,0,0,30.3,3.65,9.43
CUST-000178,72,47294.5,455.81,2,115.68,1,4.6,83,4,8.46,7.23,4.5
CUST-000179,56,60768.18,431.07,9,113.35,6,6.81,73,4,30.93,4.22,6.01
CUST-000180,26,31616.86,1563.56,12,88.53,34,15.81,2,4,82.28,2.05,6.46
CUST-000181,41,62874.77,357.49,1,95.73,5,1.0,53,4,20.13,5.92,5.95
CUST-000182,63,46761.76,441.5,4,79.34,13,1.0,60,2,19.17,4.72,6.63
CUST-000183,47,102675.76,1713.84,13,182.76,28,11.74,25,0,13.31,6.45,10.0
CUST-000184,49,77772.44,3144.35,20,168.76,20,15.59,34,2,0.0,8.36,8.9
CUST-000185,22,59135.39,1370.55,16,58.46,40,15.31,17,5,50.88,0.0,7.96
CUST-000186,30,58119.71,1028.0,13,102.2,39,12.63,48,3,51.91,2.57,7.43
CUST-000187,56,134191.9,2477.68,12,186.53,16,16.65,1,2,10.13,6.11,7.7
CUST-000188,48,55065.77,1052.17,7,104.21,15,9.46,14,3,31.74,4.98,7.48
CUST-000189,35,44446.01,1032.86,14,72.66,45,18.2,0,2,56.01,3.93,7.77
CUST-000190,42,65237.22,882.64,10,123.0,18,8.42,17,3,53.62,5.99,9.08
CUST-000191,56,45397.09,338.58,6,48.45,15,2.64,93,4,36.67,9.29,5.47
CUST-000192,39,54245.59,701.65,7,96.13,9,8.37,30,1,33.05,6.53,6.08
CUST-000193,57,54477.9,939.78,11,149.61,17,6.92,16,1,57.67,3.31,7.82
CUST-000194,47,43552.2,422.44,2,88.71,1,4.78,89,3,38.77,0.0,5.0
CUST-000195,27,75796.03,1074.0,6,117.23,21,13.07,20,0,24.22,5.38,9.6
CUST-000196,42,55227.87,1375.07,9,79.31,14,12.0,24,3,15.74,1.42,6.77
CUST-000197,28,50885.32,1425.11,18,66.54,36,15.87,27,4,62.63,5.72,6.29
CUST-000198,63,69399.77,294.19,4,26.87,11,1.7,77,5,41.44,6.6,5.86
CUST-000199,39,61169.82,679.03,8,102.73,11,3.78,10,0,31.31,4.65,4.82
CUST-000200,50,112464.78,1926.9,15,201.27,19,13.24,14,0,30.1,7.73,8.25
CUST-000201,49,56748.68,786.31,12,146.67,33,18.2,29,4,77.56,3.33,7.03
CUST-000202,49,59304.17,382.78,2,132.06,5,10.12,73,4,6.19,8.82,5.79
CUST-000203,30,135445.92,2571.29,14,198.28,11,10.86,6,2,44.88,6.56,8.96
CUST-000204,64,62052.86,992.7,5,158.98,11,9.81,28,2,29.79,4.43,9.26
CUST-000205,60,60045.41,811.01,6,177.15,16,12.35,33,5,32.03,2.01,9.36
CUST-000206,49,67092.12,1203.97,9,149.25,16,11.71,31,2,32.54,3.29,7.77
CUST-000207,38,66864.64,979.58,8,115.56,12,8.15,5,2,23.17,4.18,6.79
CUST-000208,18,67461.11,1186.36,16,71.83,46,14.54,16,2,99.21,1.55,7.83
CUST-000209,46,61715.25,1002.51,11,126.71,16,10.56,48,1,12.75,2.03,6.48
CUST-000210,41,97469.03,2586.5,17,180.92,20,15.98,16,3,28.16,6.37,9.81
CUST-000211,32,54894.54,1448.12,13,87.58,37,15.44,0,2,70.39,3.95,7.8
CUST-000212,28,42123.27,1200.53,11,32.12,30,22.12,36,4,67.3,0.0,6.84
CUST-000213,47,71261.48,1036.38,11,158.57,13,17.42,1,1,37.4,4.99,7.32
CUST-000214,51,76805.6,369.78,1,137.27,11,8.28,72,2,29.02,2.28,6.04
CUST-000215,35,57291.63,1224.59,15,62.4,43,20.02,4,4,81.08,2.14,6.18
CUST-000216,31,52773.17,1021.74,11,98.04,42,24.45,22,2,92.48,3.9,4.99
CUST-000217,34,56514.21,1065.94,3,107.02,19,1.0,34,3,24.84,1.92,6.64
CUST-000218,21,58359.72,943.48,5,134.3,16,9.78,20,3,50.49,3.27,8.26
CUST-000219,61,59136.92,574.96,1,84.46,3,7.18,67,3,47.96,8.26,5.47
CUST-000220,37,153574.81,2869.26,17,177.63,20,11.76,18,0,23.2,7.02,7.44
CUST-000221,61,127296.48,2789.13,17,130.18,22,8.42,11,1,19.7,9.12,7.0
CUST-000222,42,123577.0,2750.97,13,204.91,32,14.28,0,1,22.08,6.51,9.85
CUST-000223,29,66183.25,1465.36,14,108.01,46,20.7,13,2,54.53,0.0,7.17
CUST-000224,52,51692.13,515.07,3,142.38,4,2.09,55,5,41.82,3.93,4.74
CUST-000225,54,45813.52,1100.02,7,119.93,20,10.43,21,4,38.47,10.63,5.79
CUST-000226,41,64843.18,417.07,5,67.54,7,6.37,63,4,11.66,5.71,7.25
CUST-000227,32,47514.84,1135.6,5,131.02,15,7.75,43,3,38.36,0.13,8.21
CUST-000228,21,46087.26,1252.02,17,78.67,31,22.41,23,4,85.86,5.1,6.11
CUST-000229,19,55278.93,1177.82,13,56.96,41,19.21,12,1,82.51,2.46,8.12
CUST-000230,25,62634.15,758.05,8,133.58,17,9.05,25,0,24.12,6.02,6.99
CUST-000231,51,71222.3,1074.08,9,99.1,14,10.92,0,3,29.0,3.84,7.42
CUST-000232,48,87807.62,2686.79,17,123.89,17,15.69,19,1,9.81,8.29,7.3
CUST-000233,54,42065.72,405.03,1,113.9,9,3.29,83,3,27.58,3.89,6.54
CUST-000234,35,59248.9,1272.82,6,74.23,46,17.03,0,4,74.29,0.69,6.75
CUST-000235,48,60173.44,425.23,1,94.76,3,9.38,81,4,28.97,6.82,5.63
CUST-000236,61,69626.12,374.64,7,128.88,8,3.67,73,4,18.49,5.96,4.78
CUST-000237,45,108264.18,1819.07,17,169.29,30,12.27,5,0,18.47,7.08,9.24
CUST-000238,31,66091.45,1375.46,11,58.21,41,14.95,21,4,79.04,0.44,7.92
CUST-000239,45,55216.16,868.44,9,93.18,17,13.34,37,2,37.81,3.03,6.99
CUST-000240,30,64802.38,1035.13,8,88.07,15,13.03,36,2,59.57,8.86,7.02
CUST-000241,53,61863.98,335.64,5,97.54,9,3.27,61,2,45.82,6.69,6.47
CUST-000242,33,28091.47,1043.45,12,57.97,30,15.07,15,3,78.89,5.71,7.69
CUST-000243,41,82091.64,586.78,3,87.83,19,9.51,11,1,20.1,1.77,9.05
CUST-000244,47,151630.35,2090.91,17,180.68,28,13.76,22,2,4.9,8.32,8.4
CUST-000245,24,53995.97,1503.43,12,76.24,31,12.59,11,4,61.12,4.57,6.79
CUST-000246,53,52137.99,510.7,1,91.78,4,3.32,70,4,40.62,4.98,6.36
CUST-000247,31,60128.48,1166.84,12,103.63,36,19.5,42,2,86.38,1.11,8.34
CUST-000248,53,127426.78,2513.65,15,156.95,24,12.45,12,0,18.27,9.27,9.44
CUST-000249,48,168042.05,2269.75,16,138.74,22,18.36,6,0,28.46,7.7,9.33
CUST-000250,46,94152.54,2494.97,17,173.19,26,11.39,15,1,9.53,7.25,8.11
CUST-000251,35,55544.08,1387.92,9,60.88,35,15.61,7,4,76.38,1.24,7.59
CUST-000252,58,54674.7,526.1,2,96.32,2,1.99,54,3,29.0,4.46,5.53
CUST-000253,46,151695.77,1949.53,13,153.86,24,14.54,17,2,16.7,6.29,10.0
CUST-000254,20,62700.39,985.14,12,68.49,13,4.93,3,2,45.0,6.17,6.97
CUST-000255,47,59793.46,1010.2,11,105.14,20,5.36,33,3,46.16,1.87,7.29
CUST-000256,32,51827.97,1281.87,16,52.61,37,12.94,21,4,100.0,3.85,7.33
CUST-000257,57,51865.55,432.06,4,45.88,8,5.3,91,4,18.81,5.48,5.87
CUST-000258,41,47726.48,869.11,7,104.59,19,6.98,22,3,31.77,8.7,7.75
CUST-000259,32,52633.38,713.89,6,123.42,9,8.01,39,1,43.06,0.97,7.13
CUST-000260,23,50590.02,965.44,18,44.02,44,20.63,18,3,90.26,6.45,6.79
CUST-000261,43,55835.21,668.48,9,116.24,7,10.37,28,1,27.0,4.76,9.11
CUST-000262,58,62726.79,343.11,2,110.2,1,5.62,76,4,31.83,5.1,5.18
CUST-000263,39,113130.51,3346.18,18,166.37,22,11.68,5,1,30.69,11.07,7.67
CUST-000264,47,68052.45,834.71,6,116.88,26,9.81,16,2,21.32,4.03,8.18
CUST-000265,49,22769.46,445.58,2,76.23,3,6.2,65,5,39.43,4.51,5.28
CUST-000266,43,60377.41,553.0,12,127.86,13,3.25,23,1,34.27,0.11,7.03
CUST-000267,39,59854.21,853.23,8,148.03,12,6.27,4,1,18.18,5.73,7.4
CUST-000268,50,78357.18,728.72,7,143.29,16,10.56,37,3,39.92,6.51,7.43
CUST-000269,46,60027.38,1102.07,6,67.93,18,5.94,12,4,46.6,3.38,4.45
CUST-000270,46,69393.55,1002.33,9,105.47,13,5.68,17,2,39.06,5.42,6.09
CUST-000271,29,57762.49,698.05,8,77.25,21,6.53,44,3,22.34,7.77,7.77
CUST-000272,43,61272.23,992.38,9,88.38,14,9.35,32,3,36.97,3.01,6.9
CUST-000273,32,68613.43,778.04,8,115.94,15,8.98,14,2,31.25,3.84,8.66
CUST-000274,34,43068.24,1209.05,17,77.32,38,19.99,17,3,59.08,1.98,7.66
CUST-000275,41,35339.34,1734.77,12,108.12,34,13.17,0,3,74.29,2.06,6.75
CUST-000276,57,115041.11,2760.04,23,174.8,21,14.44,19,1,19.88,9.67,9.86
CUST-000277,47,101679.66,2845.5,15,197.13,26,21.01,28,0,11.77,3.55,6.36
CUST-000278,49,90317.66,3538.76,19,168.21,22,17.46,31,0,5.27,6.46,8.93
CUST-000279,51,59476.92,600.21,1,83.86,1,2.49,66,3,34.24,5.27,6.1
CUST-000280,53,52875.38,387.6,2,105.48,1,5.86,60,4,9.26,4.35,6.08
CUST-000281,46,48760.54,980.95,11,97.66,15,2.79,14,2,46.47,2.92,10.0
CUST-000282,45,47789.34,1154.86,5,118.21,10,4.93,37,2,55.71,2.17,5.94
CUST-000283,38,94258.08,1065.12,9,124.67,13,17.19,30,2,46.82,1.71,6.62
CUST-000284,40,73063.22,642.99,8,104.78,7,7.47,32,0,51.94,4.84,7.85
CUST-000285,30,38562.34,1071.33,14,68.71,39,15.3,19,4,48.47,2.12,5.48
CUST-000286,33,102706.43,4199.84,18,209.8,27,13.62,21,0,23.65,9.12,9.2
CUST-000287,52,64037.82,1235.03,8,162.94,18,7.85,11,1,23.49,3.84,6.23
CUST-000288,58,117291.96,2640.13,13,155.77,13,17.85,0,0,34.96,7.7,8.62
CUST-000289,51,134745.74,2657.13,13,193.33,26,16.51,0,0,22.71,5.3,6.15
CUST-000290,44,71988.29,874.47,9,120.08,15,9.41,41,1,44.28,1.87,6.71
CUST-000291,65,43022.67,397.68,8,120.64,3,3.3,68,6,15.98,3.09,6.51
CUST-000292,29,51832.38,883.15,8,75.88,17,10.66,17,4,39.08,2.19,9.12
CUST-000293,51,56770.85,375.02,4,82.96,5,4.52,64,5,12.91,4.93,5.89
CUST-000294,41,72806.21,602.22,9,78.88,12,4.96,21,1,54.66,4.43,7.94
CUST-000295,46,62326.76,571.37,5,62.2,5,5.33,63,7,22.21,4.92,5.2
CUST-000296,57,68685.27,430.61,3,68.15,13,4.57,68,1,26.47,4.28,3.97
